LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C92758,EMK107ABJ475KA-T,Taiyo Yuden,,0603,16V 4.7uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,50\50,0.016300,1.63
C1653,CL10C220JB8NNNC,Samsung Electro-Mechanics,,0603,50V 22pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.006300,0.63
C92828,TMK107BJ105KA-T,Taiyo Yuden,,0603,25V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.007700,0.77
C2943756,K16,GOODWORK,,SOD-123FL,60V 1A 0.7V@1A SOD-123FL  Schottky Barrier Diodes (SBD) ROHS,YES,50,50\50,0.013900,0.70
C90129,SMD0805P050TF/12,RUILON(Shenzhen Ruilongyuan Elec),,0805,12V 500mA 100A 1A 0805  Resettable Fuses ROHS,YES,15,5\5,0.100800,1.51
C23186,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 5.1kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,500,100\100,0.001100,0.55
C99198,RC0603JR-0710KL,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 10kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,500,100\100,0.001100,0.55
C107701,RC0603FR-0722RL,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 22Ω 0603  Chip Resistor - Surface Mount ROHS,YES,500,100\100,0.001500,0.75
C112161,ATMEGA32U4-MU,Microchip Tech,,VQFN-44-EP(7x7),32KB 2.5KB FLASH 26 2.7V~5.5V AVR 16MHz VQFN-44-EP(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,5,1\1,4.442700,22.21
C3647099,USBLC6-2P6-MS,MSKSEMI,,SOT-563," SOT-563  ESD Protection Devices ROHS",YES,15,5\5,0.154000,2.31
C362471,TXM16M0004322KBCDO00T,TAE(Zhejiang Abel Elec),,SMD3225-4P,16MHz 18pF ±10ppm SMD3225-4P  Crystals ROHS,YES,15,5\5,0.085100,1.28
C2848620,TYPE-C-31-M-13C,Korean Hroparts Elec,,SMD,5A 1 Sink board 16P Female -30℃~+80℃ Type-C SMD  USB Connectors ROHS,YES,10,5\5,0.199600,2.00
C83060,0603F104Z500CT,Walsin Tech Corp,,0603,50V 100nF Y5V -20%~+80% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,100\100,0.001800,0.90
